ObservationID	LocationID	Date	Count	Complete
RHOE_16.05_2010_11	RHOE_16.05	2010-11-15	0	1
RHOE_16.05_2011_1	RHOE_16.05	2011-01-15	0	1
RHOE_16.05_2011_11	RHOE_16.05	2011-11-15	0	1
RHOE_16.05_2011_12	RHOE_16.05	2011-12-15	0	1
RHOE_16.05_2011_2	RHOE_16.05	2011-02-15	0	1
RHOE_16.05_2012_1	RHOE_16.05	2012-01-15	0	1
RHOE_16.05_2012_11	RHOE_16.05	2012-11-18	2	1
RHOE_16.05_2012_12	RHOE_16.05	2012-12-16	2	1
RHOE_16.05_2012_2	RHOE_16.05	2012-02-15	0	1
RHOE_16.05_2013_1	RHOE_16.05	2013-01-13	2	1
RHOE_16.05_2013_11	RHOE_16.05	2013-11-16	0	1
RHOE_16.05_2013_12	RHOE_16.05	2013-12-15	2	1
RHOE_16.05_2013_2	RHOE_16.05	2013-02-17	2	1
RHOE_16.05_2014_1	RHOE_16.05	2014-01-18	2	1
RHOE_16.05_2014_2	RHOE_16.05	2014-02-15	0	1
RHOE_16.06_2010_11	RHOE_16.06	2010-11-15	0	1
RHOE_16.06_2010_12	RHOE_16.06	2010-12-15	36	1
RHOE_16.06_2011_1	RHOE_16.06	2011-01-15	0	1
RHOE_16.06_2011_11	RHOE_16.06	2011-11-15	0	1
RHOE_16.06_2011_12	RHOE_16.06	2011-12-15	0	1
RHOE_16.06_2011_2	RHOE_16.06	2011-02-15	5	1
RHOE_16.06_2012_1	RHOE_16.06	2012-01-15	2	1
RHOE_16.06_2012_11	RHOE_16.06	2012-11-17	0	1
RHOE_16.06_2012_12	RHOE_16.06	2012-12-15	0	1
RHOE_16.06_2012_2	RHOE_16.06	2012-02-15	2	1
RHOE_16.06_2013_1	RHOE_16.06	2013-01-12	0	1
RHOE_16.06_2013_11	RHOE_16.06	2013-11-16	0	1
RHOE_16.06_2013_12	RHOE_16.06	2013-12-15	0	1
RHOE_16.06_2013_2	RHOE_16.06	2013-02-17	0	1
RHOE_16.06_2014_1	RHOE_16.06	2014-01-12	4	1
RHOE_16.07_1995_1	RHOE_16.07	1995-01-15	0	1
RHOE_16.07_1996_1	RHOE_16.07	1996-01-15	0	1
RHOE_16.07_1997_1	RHOE_16.07	1997-01-15	0	1
RHOE_16.07_1998_1	RHOE_16.07	1998-01-15	0	1
RHOE_16.07_1999_1	RHOE_16.07	1999-01-15	0	1
RHOE_16.07_2000_1	RHOE_16.07	2000-01-15	0	1
RHOE_16.07_2002_1	RHOE_16.07	2002-01-15	3	1
RHOE_16.07_2003_1	RHOE_16.07	2003-01-15	0	1
RHOE_16.07_2004_1	RHOE_16.07	2004-01-15	0	1
RHOE_16.07_2005_1	RHOE_16.07	2005-01-15	0	1
RHOE_16.07_2006_1	RHOE_16.07	2006-01-15	0	1
RHOE_16.07_2007_1	RHOE_16.07	2007-01-15	0	1
RHOE_16.07_2008_1	RHOE_16.07	2008-01-15	7	1
RHOE_16.07_2009_1	RHOE_16.07	2009-01-15	9	1
RHOE_16.07_2010_1	RHOE_16.07	2010-01-15	14	1
RHOE_16.07_2011_1	RHOE_16.07	2011-01-15	3	1
RHOE_16.07_2012_1	RHOE_16.07	2012-01-15	0	1
RHOE_16.07_2013_1	RHOE_16.07	2013-01-11	0	1
RHOE_16.07_2014_1	RHOE_16.07	2014-01-19	3	1
RHOE_17.03_1994_11	RHOE_17.03	1994-11-15	0	1
RHOE_17.03_1994_12	RHOE_17.03	1994-12-15	0	1
RHOE_17.03_1995_11	RHOE_17.03	1995-11-15	0	1
RHOE_17.03_1995_12	RHOE_17.03	1995-12-15	0	1
RHOE_17.03_1995_2	RHOE_17.03	1995-02-15	0	1
RHOE_17.03_1996_1	RHOE_17.03	1996-01-15	0	1
RHOE_17.03_1996_11	RHOE_17.03	1996-11-15	0	1
RHOE_17.03_1996_12	RHOE_17.03	1996-12-15	0	1
RHOE_17.03_1996_2	RHOE_17.03	1996-02-15	0	1
RHOE_17.03_1997_1	RHOE_17.03	1997-01-15	0	1
RHOE_17.03_1997_2	RHOE_17.03	1997-02-15	0	1
RHOE_17.03_1998_1	RHOE_17.03	1998-01-15	0	1
RHOE_17.03_1998_11	RHOE_17.03	1998-11-15	0	1
RHOE_17.03_1998_12	RHOE_17.03	1998-12-15	0	1
RHOE_17.03_1999_1	RHOE_17.03	1999-01-15	0	1
RHOE_17.03_2003_1	RHOE_17.03	2003-01-15	0	1
RHOE_17.03_2004_1	RHOE_17.03	2004-01-15	0	1
RHOE_17.03_2004_12	RHOE_17.03	2004-12-15	9	1
RHOE_17.03_2005_1	RHOE_17.03	2005-01-15	6	1
RHOE_17.03_2005_2	RHOE_17.03	2005-02-15	8	1
RHOE_17.03_2006_11	RHOE_17.03	2006-11-15	0	1
RHOE_17.03_2006_12	RHOE_17.03	2006-12-15	2	1
RHOE_17.03_2007_1	RHOE_17.03	2007-01-15	2	1
RHOE_17.03_2007_2	RHOE_17.03	2007-02-15	0	1
RHOE_17.03_2008_1	RHOE_17.03	2008-01-15	8	1
RHOE_17.03_2008_11	RHOE_17.03	2008-11-15	0	1
RHOE_17.03_2008_12	RHOE_17.03	2008-12-15	0	1
RHOE_17.03_2009_1	RHOE_17.03	2009-01-15	0	1
RHOE_17.03_2009_2	RHOE_17.03	2009-02-15	0	1
RHOE_17.03_2010_1	RHOE_17.03	2010-01-15	0	1
RHOE_17.03_2012_11	RHOE_17.03	2012-11-17	0	1
RHOE_19.00_1994_11	RHOE_19.00	1994-11-15	0	1
RHOE_19.00_1994_12	RHOE_19.00	1994-12-15	0	1
RHOE_19.00_1995_1	RHOE_19.00	1995-01-15	0	1
RHOE_19.00_1995_11	RHOE_19.00	1995-11-15	0	1
RHOE_19.00_1995_12	RHOE_19.00	1995-12-15	1	1
RHOE_19.00_1995_2	RHOE_19.00	1995-02-15	0	1
RHOE_19.00_1996_1	RHOE_19.00	1996-01-15	1	1
RHOE_19.00_1996_11	RHOE_19.00	1996-11-15	0	1
RHOE_19.00_1996_12	RHOE_19.00	1996-12-15	0	1
RHOE_19.00_1996_2	RHOE_19.00	1996-02-15	0	1
RHOE_19.00_1997_1	RHOE_19.00	1997-01-15	1	1
RHOE_19.00_1997_11	RHOE_19.00	1997-11-15	0	1
RHOE_19.00_1997_12	RHOE_19.00	1997-12-15	0	1
RHOE_19.00_1997_2	RHOE_19.00	1997-02-15	0	1
RHOE_19.00_1998_1	RHOE_19.00	1998-01-15	0	1
RHOE_19.00_1998_11	RHOE_19.00	1998-11-15	0	1
RHOE_19.00_1998_12	RHOE_19.00	1998-12-15	2	1
RHOE_19.00_1998_2	RHOE_19.00	1998-02-15	0	1
RHOE_19.00_1999_1	RHOE_19.00	1999-01-15	0	1
RHOE_19.00_1999_11	RHOE_19.00	1999-11-15	0	1
RHOE_19.00_1999_12	RHOE_19.00	1999-12-15	0	1
RHOE_19.00_1999_2	RHOE_19.00	1999-02-15	2	1
RHOE_19.00_2000_1	RHOE_19.00	2000-01-15	1	1
RHOE_19.00_2000_11	RHOE_19.00	2000-11-15	0	1
RHOE_19.00_2000_12	RHOE_19.00	2000-12-15	0	1
RHOE_19.00_2000_2	RHOE_19.00	2000-02-15	0	1
RHOE_19.00_2001_1	RHOE_19.00	2001-01-15	0	1
RHOE_19.00_2001_11	RHOE_19.00	2001-11-15	0	1
RHOE_19.00_2001_12	RHOE_19.00	2001-12-15	4	1
RHOE_19.00_2001_2	RHOE_19.00	2001-02-15	0	1
RHOE_19.00_2002_1	RHOE_19.00	2002-01-15	1	1
RHOE_19.00_2002_11	RHOE_19.00	2002-11-15	0	1
RHOE_19.00_2002_12	RHOE_19.00	2002-12-15	3	1
RHOE_19.00_2002_2	RHOE_19.00	2002-02-15	0	1
RHOE_19.00_2003_1	RHOE_19.00	2003-01-15	0	1
RHOE_19.00_2003_11	RHOE_19.00	2003-11-15	0	1
RHOE_19.00_2003_12	RHOE_19.00	2003-12-15	0	1
RHOE_19.00_2003_2	RHOE_19.00	2003-02-15	4	1
RHOE_19.00_2004_1	RHOE_19.00	2004-01-15	0	1
RHOE_19.00_2004_11	RHOE_19.00	2004-11-15	0	1
RHOE_19.00_2004_12	RHOE_19.00	2004-12-15	0	1
RHOE_19.00_2004_2	RHOE_19.00	2004-02-15	0	1
RHOE_19.00_2005_1	RHOE_19.00	2005-01-15	0	1
RHOE_19.00_2005_11	RHOE_19.00	2005-11-15	0	1
RHOE_19.00_2005_12	RHOE_19.00	2005-12-15	0	1
RHOE_19.00_2005_2	RHOE_19.00	2005-02-15	0	1
RHOE_19.00_2006_1	RHOE_19.00	2006-01-15	0	1
RHOE_19.00_2006_11	RHOE_19.00	2006-11-15	0	1
RHOE_19.00_2006_12	RHOE_19.00	2006-12-15	0	1
RHOE_19.00_2006_2	RHOE_19.00	2006-02-15	0	1
RHOE_19.00_2007_1	RHOE_19.00	2007-01-15	0	1
RHOE_19.00_2007_11	RHOE_19.00	2007-11-15	0	1
RHOE_19.00_2007_12	RHOE_19.00	2007-12-15	0	1
RHOE_19.00_2007_2	RHOE_19.00	2007-02-15	0	1
RHOE_19.00_2008_1	RHOE_19.00	2008-01-15	0	1
RHOE_19.00_2008_11	RHOE_19.00	2008-11-15	0	1
RHOE_19.00_2008_12	RHOE_19.00	2008-12-15	0	1
RHOE_19.00_2008_2	RHOE_19.00	2008-02-15	0	1
RHOE_19.00_2009_1	RHOE_19.00	2009-01-15	12	1
RHOE_19.00_2009_11	RHOE_19.00	2009-11-15	0	1
RHOE_19.00_2009_12	RHOE_19.00	2009-12-15	0	1
RHOE_19.00_2009_2	RHOE_19.00	2009-02-15	0	1
RHOE_19.00_2010_1	RHOE_19.00	2010-01-15	4	1
RHOE_19.00_2010_11	RHOE_19.00	2010-11-15	0	1
RHOE_19.00_2010_12	RHOE_19.00	2010-12-15	0	1
RHOE_19.00_2010_2	RHOE_19.00	2010-02-15	0	1
RHOE_19.00_2011_1	RHOE_19.00	2011-01-15	2	1
RHOE_19.00_2011_11	RHOE_19.00	2011-11-15	0	1
RHOE_19.00_2011_12	RHOE_19.00	2011-12-15	0	1
RHOE_19.00_2011_2	RHOE_19.00	2011-02-15	0	1
RHOE_19.00_2012_1	RHOE_19.00	2012-01-15	0	1
RHOE_19.00_2012_2	RHOE_19.00	2012-02-15	0	1
RHOE_19.13_1998_11	RHOE_19.13	1998-11-15	0	1
RHOE_19.13_1998_12	RHOE_19.13	1998-12-15	0	1
RHOE_19.13_1999_11	RHOE_19.13	1999-11-15	0	1
RHOE_19.13_2000_1	RHOE_19.13	2000-01-15	0	1
RHOE_19.13_2001_11	RHOE_19.13	2001-11-15	0	1
RHOE_19.13_2001_12	RHOE_19.13	2001-12-15	0	1
RHOE_19.13_2002_1	RHOE_19.13	2002-01-15	0	1
RHOE_19.13_2002_11	RHOE_19.13	2002-11-15	0	1
RHOE_19.13_2002_12	RHOE_19.13	2002-12-15	0	1
RHOE_19.13_2002_2	RHOE_19.13	2002-02-15	0	1
RHOE_19.13_2003_1	RHOE_19.13	2003-01-15	0	1
RHOE_19.13_2003_11	RHOE_19.13	2003-11-15	0	1
RHOE_19.13_2003_12	RHOE_19.13	2003-12-15	0	1
RHOE_19.13_2003_2	RHOE_19.13	2003-02-15	0	1
RHOE_19.13_2004_1	RHOE_19.13	2004-01-15	0	1
RHOE_19.13_2004_11	RHOE_19.13	2004-11-15	0	1
RHOE_19.13_2004_12	RHOE_19.13	2004-12-15	0	1
RHOE_19.13_2004_2	RHOE_19.13	2004-02-15	1	1
RHOE_19.13_2005_1	RHOE_19.13	2005-01-15	0	1
RHOE_19.13_2005_11	RHOE_19.13	2005-11-15	0	1
RHOE_19.13_2005_12	RHOE_19.13	2005-12-15	0	1
RHOE_19.13_2005_2	RHOE_19.13	2005-02-15	0	1
RHOE_19.13_2006_1	RHOE_19.13	2006-01-15	0	1
RHOE_19.13_2006_11	RHOE_19.13	2006-11-15	0	1
RHOE_19.13_2006_12	RHOE_19.13	2006-12-15	0	1
RHOE_19.13_2006_2	RHOE_19.13	2006-02-15	0	1
RHOE_19.13_2007_1	RHOE_19.13	2007-01-15	1	1
RHOE_19.13_2007_11	RHOE_19.13	2007-11-15	0	1
RHOE_19.13_2007_12	RHOE_19.13	2007-12-15	0	1
RHOE_19.13_2007_2	RHOE_19.13	2007-02-15	6	1
RHOE_19.13_2008_1	RHOE_19.13	2008-01-15	3	1
RHOE_19.13_2008_11	RHOE_19.13	2008-11-15	0	1
RHOE_19.13_2008_12	RHOE_19.13	2008-12-15	12	1
RHOE_19.13_2008_2	RHOE_19.13	2008-02-15	4	1
RHOE_19.13_2009_1	RHOE_19.13	2009-01-15	0	1
RHOE_19.13_2009_11	RHOE_19.13	2009-11-15	3	1
RHOE_19.13_2009_12	RHOE_19.13	2009-12-15	19	1
RHOE_19.13_2009_2	RHOE_19.13	2009-02-15	0	1
RHOE_19.13_2010_1	RHOE_19.13	2010-01-15	4	1
RHOE_19.13_2010_2	RHOE_19.13	2010-02-15	1	1
RHOE_19.13_2011_11	RHOE_19.13	2011-11-15	0	1
RHOE_19.13_2011_12	RHOE_19.13	2011-12-15	6	1
RHOE_19.13_2012_1	RHOE_19.13	2012-01-15	2	1
RHOE_19.13_2012_11	RHOE_19.13	2012-11-17	0	1
RHOE_19.13_2012_12	RHOE_19.13	2012-12-15	3	1
RHOE_19.13_2012_2	RHOE_19.13	2012-02-15	0	1
RHOE_19.13_2013_1	RHOE_19.13	2013-01-12	1	1
RHOE_19.13_2013_11	RHOE_19.13	2013-11-17	0	1
RHOE_19.13_2013_12	RHOE_19.13	2013-12-14	1	1
RHOE_19.13_2013_2	RHOE_19.13	2013-02-16	0	1
RHOE_19.13_2014_1	RHOE_19.13	2014-01-18	0	1
RHOE_19.13_2014_2	RHOE_19.13	2014-02-15	0	1
RHOE_20.02_1994_11	RHOE_20.02	1994-11-15	0	1
RHOE_20.02_1994_12	RHOE_20.02	1994-12-15	0	1
RHOE_20.02_1995_1	RHOE_20.02	1995-01-15	0	1
RHOE_20.02_1995_11	RHOE_20.02	1995-11-15	0	1
RHOE_20.02_1995_12	RHOE_20.02	1995-12-15	0	1
RHOE_20.02_1995_2	RHOE_20.02	1995-02-15	0	1
RHOE_20.02_1996_1	RHOE_20.02	1996-01-15	0	1
RHOE_20.02_1996_11	RHOE_20.02	1996-11-15	0	1
RHOE_20.02_1996_12	RHOE_20.02	1996-12-15	0	1
RHOE_20.02_1996_2	RHOE_20.02	1996-02-15	0	1
RHOE_20.02_1997_1	RHOE_20.02	1997-01-15	0	1
RHOE_20.02_1997_11	RHOE_20.02	1997-11-15	0	1
RHOE_20.02_1997_12	RHOE_20.02	1997-12-15	0	1
RHOE_20.02_1997_2	RHOE_20.02	1997-02-15	0	1
RHOE_20.02_1998_1	RHOE_20.02	1998-01-15	0	1
RHOE_20.02_1998_11	RHOE_20.02	1998-11-15	0	1
RHOE_20.02_1998_12	RHOE_20.02	1998-12-15	0	1
RHOE_20.02_1998_2	RHOE_20.02	1998-02-15	0	1
RHOE_20.02_1999_1	RHOE_20.02	1999-01-15	0	1
RHOE_20.02_1999_11	RHOE_20.02	1999-11-15	0	1
RHOE_20.02_1999_12	RHOE_20.02	1999-12-15	0	1
RHOE_20.02_1999_2	RHOE_20.02	1999-02-15	0	1
RHOE_20.02_2000_1	RHOE_20.02	2000-01-15	0	1
RHOE_20.02_2000_11	RHOE_20.02	2000-11-15	0	1
RHOE_20.02_2000_12	RHOE_20.02	2000-12-15	0	1
RHOE_20.02_2000_2	RHOE_20.02	2000-02-15	0	1
RHOE_20.02_2001_1	RHOE_20.02	2001-01-15	0	1
RHOE_20.02_2001_11	RHOE_20.02	2001-11-15	0	1
RHOE_20.02_2001_12	RHOE_20.02	2001-12-15	0	1
RHOE_20.02_2001_2	RHOE_20.02	2001-02-15	3	1
RHOE_20.02_2002_1	RHOE_20.02	2002-01-15	0	1
RHOE_20.02_2002_11	RHOE_20.02	2002-11-15	0	1
RHOE_20.02_2002_12	RHOE_20.02	2002-12-15	0	1
RHOE_20.02_2002_2	RHOE_20.02	2002-02-15	0	1
RHOE_20.02_2003_1	RHOE_20.02	2003-01-15	0	1
RHOE_20.02_2003_11	RHOE_20.02	2003-11-15	0	1
RHOE_20.02_2003_12	RHOE_20.02	2003-12-15	0	1
RHOE_20.02_2003_2	RHOE_20.02	2003-02-15	0	1
RHOE_20.02_2004_1	RHOE_20.02	2004-01-15	0	1
RHOE_20.02_2004_11	RHOE_20.02	2004-11-15	0	1
RHOE_20.02_2004_12	RHOE_20.02	2004-12-15	0	1
RHOE_20.02_2004_2	RHOE_20.02	2004-02-15	0	1
RHOE_20.02_2005_1	RHOE_20.02	2005-01-15	0	1
RHOE_20.02_2005_11	RHOE_20.02	2005-11-15	0	1
RHOE_20.02_2005_12	RHOE_20.02	2005-12-15	0	1
RHOE_20.02_2005_2	RHOE_20.02	2005-02-15	0	1
RHOE_20.02_2006_1	RHOE_20.02	2006-01-15	0	1
RHOE_20.02_2006_11	RHOE_20.02	2006-11-15	0	1
RHOE_20.02_2006_12	RHOE_20.02	2006-12-15	0	1
RHOE_20.02_2006_2	RHOE_20.02	2006-02-15	0	1
RHOE_20.02_2007_1	RHOE_20.02	2007-01-15	0	1
RHOE_20.02_2007_11	RHOE_20.02	2007-11-15	0	1
RHOE_20.02_2007_12	RHOE_20.02	2007-12-15	3	1
RHOE_20.02_2007_2	RHOE_20.02	2007-02-15	0	1
RHOE_20.02_2008_1	RHOE_20.02	2008-01-15	0	1
RHOE_20.02_2008_11	RHOE_20.02	2008-11-15	0	1
RHOE_20.02_2008_12	RHOE_20.02	2008-12-15	1	1
RHOE_20.02_2008_2	RHOE_20.02	2008-02-15	0	1
RHOE_20.02_2009_1	RHOE_20.02	2009-01-15	4	1
RHOE_20.02_2009_11	RHOE_20.02	2009-11-15	0	1
RHOE_20.02_2009_12	RHOE_20.02	2009-12-15	0	1
RHOE_20.02_2009_2	RHOE_20.02	2009-02-15	1	1
RHOE_20.02_2010_1	RHOE_20.02	2010-01-15	2	1
RHOE_20.02_2010_11	RHOE_20.02	2010-11-15	0	1
RHOE_20.02_2010_2	RHOE_20.02	2010-02-15	0	1
RHOE_20.02_2011_1	RHOE_20.02	2011-01-15	0	1
RHOE_20.02_2012_1	RHOE_20.02	2012-01-15	0	1
RHOE_20.02_2012_11	RHOE_20.02	2012-11-18	0	1
RHOE_20.02_2012_12	RHOE_20.02	2012-12-16	0	1
RHOE_20.02_2013_1	RHOE_20.02	2013-01-13	0	1
RHOE_20.02_2013_11	RHOE_20.02	2013-11-17	0	1
RHOE_20.02_2013_12	RHOE_20.02	2013-12-15	0	1
RHOE_20.02_2013_2	RHOE_20.02	2013-02-17	1	1
RHOE_20.02_2014_1	RHOE_20.02	2014-01-19	0	1
RHOE_20.02_2014_2	RHOE_20.02	2014-02-16	0	1
RHOE_20.03_1994_11	RHOE_20.03	1994-11-15	0	1
RHOE_20.03_1994_12	RHOE_20.03	1994-12-15	0	1
RHOE_20.03_1995_1	RHOE_20.03	1995-01-15	0	1
RHOE_20.03_1995_11	RHOE_20.03	1995-11-15	0	1
RHOE_20.03_1995_12	RHOE_20.03	1995-12-15	6	1
RHOE_20.03_1995_2	RHOE_20.03	1995-02-15	2	1
RHOE_20.03_1996_1	RHOE_20.03	1996-01-15	0	1
RHOE_20.03_1996_11	RHOE_20.03	1996-11-15	0	1
RHOE_20.03_1996_12	RHOE_20.03	1996-12-15	9	1
RHOE_20.03_1996_2	RHOE_20.03	1996-02-15	0	1
RHOE_20.03_1997_1	RHOE_20.03	1997-01-15	0	1
RHOE_20.03_1997_11	RHOE_20.03	1997-11-15	2	1
RHOE_20.03_1997_12	RHOE_20.03	1997-12-15	0	1
RHOE_20.03_1997_2	RHOE_20.03	1997-02-15	6	1
RHOE_20.03_1998_1	RHOE_20.03	1998-01-15	0	1
RHOE_20.03_1998_11	RHOE_20.03	1998-11-15	0	1
RHOE_20.03_1998_12	RHOE_20.03	1998-12-15	0	1
RHOE_20.03_1998_2	RHOE_20.03	1998-02-15	0	1
RHOE_20.03_1999_1	RHOE_20.03	1999-01-15	6	1
RHOE_20.03_1999_11	RHOE_20.03	1999-11-15	3	1
RHOE_20.03_1999_12	RHOE_20.03	1999-12-15	0	1
RHOE_20.03_1999_2	RHOE_20.03	1999-02-15	8	1
RHOE_20.03_2000_1	RHOE_20.03	2000-01-15	0	1
RHOE_20.03_2000_11	RHOE_20.03	2000-11-15	2	1
RHOE_20.03_2000_12	RHOE_20.03	2000-12-15	0	1
RHOE_20.03_2000_2	RHOE_20.03	2000-02-15	3	1
RHOE_20.03_2001_1	RHOE_20.03	2001-01-15	0	1
RHOE_20.03_2001_11	RHOE_20.03	2001-11-15	0	1
RHOE_20.03_2001_12	RHOE_20.03	2001-12-15	22	1
RHOE_20.03_2001_2	RHOE_20.03	2001-02-15	0	1
RHOE_20.03_2002_1	RHOE_20.03	2002-01-15	0	1
RHOE_20.03_2002_11	RHOE_20.03	2002-11-15	9	1
RHOE_20.03_2002_12	RHOE_20.03	2002-12-15	4	1
RHOE_20.03_2002_2	RHOE_20.03	2002-02-15	1	1
RHOE_20.03_2003_1	RHOE_20.03	2003-01-15	0	1
RHOE_20.03_2003_11	RHOE_20.03	2003-11-15	1	1
RHOE_20.03_2003_12	RHOE_20.03	2003-12-15	0	1
RHOE_20.03_2003_2	RHOE_20.03	2003-02-15	3	1
RHOE_20.03_2004_1	RHOE_20.03	2004-01-15	1	1
RHOE_20.03_2004_11	RHOE_20.03	2004-11-15	13	1
RHOE_20.03_2004_12	RHOE_20.03	2004-12-15	3	1
RHOE_20.03_2004_2	RHOE_20.03	2004-02-15	4	1
RHOE_20.03_2005_1	RHOE_20.03	2005-01-15	4	1
RHOE_20.03_2005_11	RHOE_20.03	2005-11-15	0	1
RHOE_20.03_2005_12	RHOE_20.03	2005-12-15	2	1
RHOE_20.03_2005_2	RHOE_20.03	2005-02-15	2	1
RHOE_20.03_2006_1	RHOE_20.03	2006-01-15	0	1
RHOE_20.03_2006_11	RHOE_20.03	2006-11-15	20	1
RHOE_20.03_2006_12	RHOE_20.03	2006-12-15	0	1
RHOE_20.03_2006_2	RHOE_20.03	2006-02-15	0	1
RHOE_20.03_2007_1	RHOE_20.03	2007-01-15	2	1
RHOE_20.03_2007_11	RHOE_20.03	2007-11-15	14	1
RHOE_20.03_2007_12	RHOE_20.03	2007-12-15	2	1
RHOE_20.03_2007_2	RHOE_20.03	2007-02-15	4	1
RHOE_20.03_2008_1	RHOE_20.03	2008-01-15	0	1
RHOE_20.03_2008_11	RHOE_20.03	2008-11-15	10	1
RHOE_20.03_2008_12	RHOE_20.03	2008-12-15	14	1
RHOE_20.03_2008_2	RHOE_20.03	2008-02-15	5	1
RHOE_20.03_2009_1	RHOE_20.03	2009-01-15	16	1
RHOE_20.03_2009_11	RHOE_20.03	2009-11-15	0	1
RHOE_20.03_2009_12	RHOE_20.03	2009-12-15	3	1
RHOE_20.03_2009_2	RHOE_20.03	2009-02-15	0	1
RHOE_20.03_2010_1	RHOE_20.03	2010-01-15	1	1
RHOE_20.03_2010_11	RHOE_20.03	2010-11-15	2	1
RHOE_20.03_2010_2	RHOE_20.03	2010-02-15	2	1
RHOE_20.03_2011_1	RHOE_20.03	2011-01-15	0	1
RHOE_20.03_2012_1	RHOE_20.03	2012-01-15	4	1
RHOE_20.03_2012_11	RHOE_20.03	2012-11-18	0	1
RHOE_20.03_2012_12	RHOE_20.03	2012-12-16	0	1
RHOE_20.03_2013_1	RHOE_20.03	2013-01-13	0	1
RHOE_20.03_2013_11	RHOE_20.03	2013-11-17	0	1
RHOE_20.03_2013_12	RHOE_20.03	2013-12-15	0	1
RHOE_20.03_2013_2	RHOE_20.03	2013-02-17	0	1
RHOE_20.03_2014_1	RHOE_20.03	2014-01-19	0	1
RHOE_20.03_2014_2	RHOE_20.03	2014-02-16	0	1
RHOE_20.04_1994_11	RHOE_20.04	1994-11-15	0	1
RHOE_20.04_1995_1	RHOE_20.04	1995-01-15	0	1
RHOE_20.04_1995_11	RHOE_20.04	1995-11-15	0	1
RHOE_20.04_1995_12	RHOE_20.04	1995-12-15	0	1
RHOE_20.04_1995_2	RHOE_20.04	1995-02-15	0	1
RHOE_20.04_1996_1	RHOE_20.04	1996-01-15	0	1
RHOE_20.04_1996_11	RHOE_20.04	1996-11-15	0	1
RHOE_20.04_1996_12	RHOE_20.04	1996-12-15	0	1
RHOE_20.04_1996_2	RHOE_20.04	1996-02-15	0	1
RHOE_20.04_1997_1	RHOE_20.04	1997-01-15	0	1
RHOE_20.04_1997_11	RHOE_20.04	1997-11-15	0	1
RHOE_20.04_1997_12	RHOE_20.04	1997-12-15	0	1
RHOE_20.04_1997_2	RHOE_20.04	1997-02-15	0	1
RHOE_20.04_1998_1	RHOE_20.04	1998-01-15	0	1
RHOE_20.04_1998_11	RHOE_20.04	1998-11-15	0	1
RHOE_20.04_1998_12	RHOE_20.04	1998-12-15	0	1
RHOE_20.04_1998_2	RHOE_20.04	1998-02-15	0	1
RHOE_20.04_1999_1	RHOE_20.04	1999-01-15	0	1
RHOE_20.04_1999_11	RHOE_20.04	1999-11-15	0	1
RHOE_20.04_1999_12	RHOE_20.04	1999-12-15	0	1
RHOE_20.04_1999_2	RHOE_20.04	1999-02-15	0	1
RHOE_20.04_2000_1	RHOE_20.04	2000-01-15	0	1
RHOE_20.04_2000_11	RHOE_20.04	2000-11-15	0	1
RHOE_20.04_2000_12	RHOE_20.04	2000-12-15	0	1
RHOE_20.04_2000_2	RHOE_20.04	2000-02-15	0	1
RHOE_20.04_2001_1	RHOE_20.04	2001-01-15	0	1
RHOE_20.04_2001_11	RHOE_20.04	2001-11-15	0	1
RHOE_20.04_2001_12	RHOE_20.04	2001-12-15	2	1
RHOE_20.04_2001_2	RHOE_20.04	2001-02-15	2	1
RHOE_20.04_2002_1	RHOE_20.04	2002-01-15	0	1
RHOE_20.04_2002_11	RHOE_20.04	2002-11-15	0	1
RHOE_20.04_2002_12	RHOE_20.04	2002-12-15	0	1
RHOE_20.04_2002_2	RHOE_20.04	2002-02-15	0	1
RHOE_20.04_2003_1	RHOE_20.04	2003-01-15	0	1
RHOE_20.04_2003_11	RHOE_20.04	2003-11-15	0	1
RHOE_20.04_2003_12	RHOE_20.04	2003-12-15	0	1
RHOE_20.04_2003_2	RHOE_20.04	2003-02-15	0	1
RHOE_20.04_2004_1	RHOE_20.04	2004-01-15	0	1
RHOE_20.04_2004_11	RHOE_20.04	2004-11-15	0	1
RHOE_20.04_2004_12	RHOE_20.04	2004-12-15	0	1
RHOE_20.04_2004_2	RHOE_20.04	2004-02-15	0	1
RHOE_20.04_2005_1	RHOE_20.04	2005-01-15	0	1
RHOE_20.04_2005_11	RHOE_20.04	2005-11-15	0	1
RHOE_20.04_2005_12	RHOE_20.04	2005-12-15	0	1
RHOE_20.04_2005_2	RHOE_20.04	2005-02-15	0	1
RHOE_20.04_2006_1	RHOE_20.04	2006-01-15	2	1
RHOE_20.04_2006_11	RHOE_20.04	2006-11-15	0	1
RHOE_20.04_2006_12	RHOE_20.04	2006-12-15	0	1
RHOE_20.04_2006_2	RHOE_20.04	2006-02-15	0	1
RHOE_20.04_2007_1	RHOE_20.04	2007-01-15	0	1
RHOE_20.04_2007_11	RHOE_20.04	2007-11-15	0	1
RHOE_20.04_2007_12	RHOE_20.04	2007-12-15	0	1
RHOE_20.04_2007_2	RHOE_20.04	2007-02-15	0	1
RHOE_20.04_2008_1	RHOE_20.04	2008-01-15	0	1
RHOE_20.04_2008_11	RHOE_20.04	2008-11-15	0	1
RHOE_20.04_2008_12	RHOE_20.04	2008-12-15	0	1
RHOE_20.04_2008_2	RHOE_20.04	2008-02-15	2	1
